,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
129,"7 rings","Ariana Grande",183041,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
130,"Odhani (From ""Made in China"")",Sachin-Jigar,180507,https://open.spotify.com/track/2q0V50aNlI1RQXJyE5HDgD
131,"Laal Chunariya",Akull,179746,https://open.spotify.com/track/4eArIrMsptXvjYgSKf6Nz4
132,Khaab,Akhil,179497,https://open.spotify.com/track/0a6zRnrjmaOcqsEIFkXIhw
133,"Agar Tum Saath Ho (From ""Tamasha"")",BollyKex,178662,https://open.spotify.com/track/3iP6FDxr7k36zqSDscqZW7
134,"Lamborghini (From ""Jai Mummy Di"")","Meet Bros.",178521,https://open.spotify.com/track/5xWpxI216rbOSiAqjdn6gy
135,Satisfya,"Imran Khan",177462,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
136,"My Oh My (feat. DaBaby)","Camila Cabello",177078,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
137,"Boy With Luv (feat. Halsey)",BTS,176774,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
138,ON,BTS,176407,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
139,"Alone, Pt. II","Alan Walker",175465,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
140,"Paniyon Sa","Atif Aslam",175023,https://open.spotify.com/track/2si0ZNx4yRbggTvrIom8A2
141,"Do You Love Me (From ""Baaghi 3"")","Nikhita Gandhi",174553,https://open.spotify.com/track/4IZHFWBdQwdu8PLBfobkUF
142,"Same Beef",Bohemia,173596,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC
143,"Tera Ghata","Gajendra Verma",173094,https://open.spotify.com/track/0JBhoxPKHJc1ZeJrjSt0VO
144,"Ae Dil Hai Mushkil Title Track",Pritam,172161,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
145,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon",171432,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95
146,"Goa Beach","Tony Kakkar",171386,https://open.spotify.com/track/4obyqyCX0Vx839PTsz1OGf
147,Control,"Armaan Malik",169878,https://open.spotify.com/track/5NH6GqeHO5Zi4bJpPfnwPs
148,"She Move It Like",Badshah,169682,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
149,"Tareefan - Original","Chdry Saqib",169613,https://open.spotify.com/track/6fTEiqvwttauVDmDmDwD2T
150,"Love Mashup 2019","Akhil Sachdeva",168898,https://open.spotify.com/track/2nCKF3gkwHCamm3f0jNaJd
151,"Vaathi Coming","Anirudh Ravichander",168631,https://open.spotify.com/track/2BcPFQ7nrtUObgAs72xaac
152,"Tere Nainon Mein","The Bilz & Kashif",167752,https://open.spotify.com/track/3OhyYFXr9EDgQcOW1SqCKS
153,Jannat,"B Praak",167236,https://open.spotify.com/track/6yzxDlblhlYBepcieip20S
154,"Photo (From ""Luka Chuppi"")","Karan Sehmbi",167106,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM
155,Happier,Marshmello,166751,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
156,Dhakka,"Sidhu Moose Wala",166159,https://open.spotify.com/track/2fPPWdQuHY3CxPIOk6qbwH
157,"Gaddi Pichhe Naa","Khan Bhaini",165549,https://open.spotify.com/track/0KMxACWz7WJYy9wj7YVKKr
158,"If the World Was Ending - feat. Julia Michaels","JP Saxe",165515,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
159,"Valentine's Mashup 2019","Amrita Singh",165010,https://open.spotify.com/track/1MhHomaXgrPMBroXkpWSSa
