,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
153,"Poesia Acústica #7: Céu Azul","Pineapple StormTv",810111,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW
154,"Someone You Loved","Lewis Capaldi",807049,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
155,"Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto)",Dilsinho,806331,https://open.spotify.com/track/2lm3Ric7MeBk8hLfsiVokr
156,"Mentira - Ao Vivo","Felipe Araújo",805361,https://open.spotify.com/track/146Vb458Y5RbqEa0fYFPzm
157,"Quem Me Dera","Márcia Fellipe",804956,https://open.spotify.com/track/2lAyctg5FocS67eksHoyIg
158,"Morena Cor do Pecado","MC Kevin o Chris",803305,https://open.spotify.com/track/3N6isgIE6SAFbRfRIbQ3sd
159,"Do jeito que tu gosta",Pk,791224,https://open.spotify.com/track/34D0w6kVzuQ35vyHIFrWTC
160,"Piece Of Your Heart - Alok Remix",MEDUZA,786942,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW
161,"Watermelon Sugar","Harry Styles",784055,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
162,"Quem Pegou, Pegou - Ao Vivo","Henrique & Juliano",780217,https://open.spotify.com/track/2jxfsaODfcVQhKMZPuYK2j
163,"Sua Mãe Vai Me Amar","Turma do Pagode",778872,https://open.spotify.com/track/4fMjqKYYsvtT6Fvca8lGFl
164,Positividade,"Mc Bola",773412,https://open.spotify.com/track/1YAtg8jo5fR3Q01eO2jPTl
165,"Para não","MC WM",766424,https://open.spotify.com/track/23GNCotvXa7WPvgYuruJjE
166,"7 Dias 7 Corpos","Dj Guuga",765234,https://open.spotify.com/track/75G8U8YHMcHirBsO0we3zR
167,"Pesquisa no Google (feat. Henrique & Diego) - Ao Vivo","Turma do Pagode",765094,https://open.spotify.com/track/1xg3EbmhAr1cfNOA55pvKH
168,"Tudo de bom",Pk,764823,https://open.spotify.com/track/3YqLyRFwjGuPBT7EHoyQH7
169,"Propaganda - Ao Vivo","Jorge & Mateus",762848,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
170,Believer,"Imagine Dragons",760519,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
171,"Mochila nas Costas / Empurra Empurra","DJ Felipe Único",755857,https://open.spotify.com/track/49N07rRWNp03L2HPCogaF0
172,Happier,Marshmello,745243,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
173,"everything i wanted","Billie Eilish",742073,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
174,"Aquecimento do Pedro Sampaio","Pedro Sampaio",740953,https://open.spotify.com/track/7wAQTVTggrFQ4bceY6e3GE
